12-03-2019;T;34.0
12-03-2019;T;34.0
12-03-2019;T;34.0
12-03-2019;T;34.0
12-03-2019;T;34.0
12-03-2019;T;34.0
12-03-2019;T;34.0
12-03-2019;T;34.0
12-03-2019;T;39.2
12-03-2019;F;49.0
12-03-2019;F;235.0
12-03-2019;T;34.0
12-03-2019;T;39.2
12-03-2019;F;49.0
12-03-2019;F;235.0
12-03-2019;T;34.0
12-03-2019;T;39.2
12-03-2019;F;49.0
12-03-2019;F;235.0
12-03-2019;T;34.0
12-03-2019;T;39.2
12-03-2019;F;49.0
12-03-2019;F;235.0
12-03-2019;T;34.0
12-03-2019;T;39.2
12-03-2019;F;49.0
12-03-2019;F;235.0
12-03-2019;T;35.99
12-03-2019;F;235.0
12-03-2019;T;38.01
12-03-2019;F;235.0
12-03-2019;F;49.99
12-03-2019;T;34.0
12-03-2019;T;39.2
12-03-2019;F;49.0
12-03-2019;F;235.0
12-03-2019;T;35.99
12-03-2019;F;235.0
12-03-2019;T;38.01
12-03-2019;F;235.0
12-03-2019;F;49.99
12-03-2019;T;34.0
12-03-2019;T;39.2
12-03-2019;F;49.0
12-03-2019;F;235.0
12-03-2019;T;35.99
12-03-2019;F;235.0
12-03-2019;T;38.01
12-03-2019;F;235.0
12-03-2019;F;49.99
12-03-2019;T;34.0
12-03-2019;T;39.2
12-03-2019;F;49.0
12-03-2019;F;235.0
12-03-2019;T;35.99
12-03-2019;F;235.0
12-03-2019;T;38.01
12-03-2019;F;235.0
12-03-2019;F;49.99
12-03-2019;T;34.0
12-03-2019;T;39.2
12-03-2019;F;49.0
12-03-2019;F;235.0
12-03-2019;T;35.99
12-03-2019;F;235.0
12-03-2019;T;38.01
12-03-2019;F;235.0
12-03-2019;F;49.99
12-03-2019;T;34.0
12-03-2019;T;39.2
12-03-2019;F;49.0
12-03-2019;F;235.0
12-03-2019;T;35.99
12-03-2019;F;235.0
12-03-2019;T;38.01
12-03-2019;F;235.0
12-03-2019;F;49.99
